ISOALPHA,COUNTRYNM,NAME1,tot_popn_2020,prop_vaxxed,overall_cvg,mean_age,perc_born_before_1980,perc_born_before_cessation,perc_vaxxed
MWI,malawi,chikwawa,617200,0.12915583862412852,91,21.621325912101813,13.518112231160742,14.192949299354781,12.915583862412852
MWI,malawi,chiradzulu,395717,0.15018324196885527,91,22.714362696024494,15.82421018724323,16.503652963610474,15.018324196885526
MWI,malawi,chitipa,289415,0.1264590710029349,91,20.87947676760088,13.19325493268181,13.896601209113726,12.64590710029349
MWI,malawi,dedza,918486,0.1389110632546869,91,21.878946267272312,14.567910756699282,15.26495200600955,13.89110632546869
MWI,malawi,dowa,880500,0.1320601873830203,91,21.70977602913868,13.805210575225967,14.512108503628603,13.206018738302031
MWI,malawi,karonga,414326,0.12490849170894709,91,20.84517901449227,13.037822827982279,13.726207880104074,12.490849170894709
MWI,malawi,kasungu,946770,0.11816111357968542,91,20.594124838551057,12.264305135442571,12.984737756009388,11.816111357968543
MWI,malawi,likoma,16304,0.1409591189098376,91,22.748973305954824,14.778794101176032,15.490013067015122,14.095911890983759
MWI,malawi,lilongwe,3380314,0.11372168173624767,91,21.14523161231363,11.811662279008365,12.496888102884357,11.372168173624766
MWI,malawi,machinga,774092,0.13029258537714958,91,21.254903285880665,13.676510477462925,14.317866524961492,13.029258537714957
MWI,malawi,mangochi,1192771,0.1331899501421705,91,21.466998779403664,13.973166018823157,14.636258257381368,13.31899501421705
MWI,malawi,mchinji,738870,0.11820146379627941,91,20.633254401559316,12.28849395803305,12.98917184574499,11.820146379627941
MWI,malawi,mulanje,726260,0.1411788676861707,91,22.195825606864652,14.865447644516705,15.514161284194586,14.117886768617069
MWI,malawi,mwanza,157892,0.11968324934657727,91,21.037686495605016,12.490319525219231,13.1520054227008,11.968324934657728
MWI,malawi,mzimba,1141500,0.139711380298201,91,21.6483736959086,14.602968074552724,15.35289893386824,13.971138029820098
MWI,malawi,mzuzu city,231436,0.0892634213790283,91,20.496092097329708,9.086035447961692,9.809167184508604,8.92634213790283
MWI,malawi,neno,181445,0.1263168016316099,91,20.993907648953552,13.222210490940373,13.880967212264824,12.631680163160992
MWI,malawi,nkhata bay,325314,0.1381903904726521,91,21.755913366647267,14.465931307129374,15.185757194796935,13.81903904726521
MWI,malawi,nkhotakota,451130,0.12172211832890736,91,20.78666023345087,12.687646098060132,13.37605695922059,12.172211832890737
MWI,malawi,nsanje,340431,0.14259986351376722,91,22.23541637174203,15.039629721381582,15.670314671842553,14.259986351376721
MWI,malawi,ntcheu,686457,0.14732425618157463,91,22.28542743761952,15.507069029536554,16.189478701271934,14.732425618157464
MWI,malawi,ntchisi,338073,0.13045320482458478,91,21.312438465966675,13.64311955467293,14.335517013690632,13.045320482458479
MWI,malawi,phalombe,455461,0.1283403907980878,91,21.13782320532741,13.477529373306766,14.103339648141516,12.834039079808779
MWI,malawi,rumphi,249021,0.12644016621379403,91,21.199193442473977,13.162639683515684,13.894523759757584,12.644016621379404
MWI,malawi,salima,536221,0.124966855748037,91,21.10993626136744,13.063703256635167,13.732621510773296,12.4966855748037
MWI,malawi,thyolo,871578,0.1363344700240712,91,21.950982341933965,14.311745953355192,14.981809892755079,13.63344700240712
MWI,malawi,zomba,786304,0.13878073597618953,91,21.834543335064215,14.605497982911118,15.250630327053797,13.878073597618954
MWI,malawi,zomba city,123996,0.08902952641709715,91,20.608841213915458,9.042404493795459,9.783464441439245,8.902952641709714
MYS,malaysia,johor,3838560,0.22671696835040833,89,28.415752732341687,24.154717320310393,25.473816668585204,22.671696835040834
MYS,malaysia,kedah,2163412,0.24449152327363968,89,28.488326628638767,26.182205002397357,27.470957671195478,24.44915232736397
MYS,malaysia,kelantan,1564406,0.22616568446099786,89,26.96390220836812,24.240077873887564,25.41187465853909,22.616568446099787
MYS,malaysia,kuala lumpur,1798760,0.2324085010974065,89,29.532605819514025,24.66854744797066,26.113314730045673,23.24085010974065
MYS,malaysia,labuan,92469,0.1705277617675312,89,25.763808837656104,17.952929875120077,19.160422670509124,17.05277617675312
MYS,malaysia,melaka,959892,0.24318588624697768,89,28.81057109240654,26.040624232315785,27.324256881682885,24.318588624697767
MYS,malaysia,negeri sembilan,1122087,0.24281885994061048,89,28.86267132880143,26.059838079360336,27.283017970855113,24.28188599406105
MYS,malaysia,pahang,1582340,0.21822364099664246,89,27.255016280260207,23.385842871868924,24.519510224341847,21.822364099664245
MYS,malaysia,perak,2498435,0.27423783774129956,89,30.069893445312868,29.53185143512844,30.81324019565164,27.423783774129955
MYS,malaysia,perlis,238910,0.25893012937657406,89,29.245474547454744,27.85605833310604,29.093272963660006,25.893012937657407
MYS,malaysia,pulau pinang,1764937,0.25976456862101976,89,30.501415728983293,27.76302771883556,29.187030182137054,25.976456862101976
MYS,malaysia,putrajaya,86025,0.12167151431548358,89,23.90305680700879,12.792509868952054,13.670956664661077,12.167151431548358
