PUMA,ST,pop_size,perc_born_before_1980,perc_born_before_cessation,perc_foreign_born,overall_cvg,perc_susceptible
3400,25,147647,43.40758701497491,0.38145035117543874,26.2043929101167,0.9358496933530742,71.54294354448224
3400,37,142276,46.225645927633614,0.387465208468048,6.306755882931767,0.9733817896864746,69.613603532674
3400,39,101767,52.59661776410821,0.44598936786974164,1.732388691815618,0.9016714810334902,67.61876147872341
3400,48,187616,47.864254647791235,0.40734265734265734,8.332977997612144,0.9351459546812004,69.38730474222335
3401,17,124519,43.45360948931488,0.37141319798584954,25.747877833904866,0.9288818228988671,72.43400411927117
3401,42,111156,48.39684767353989,0.3875994098384253,10.364712656086942,0.9333928077135684,70.93508750607536
3402,42,134629,44.15022023486767,0.3800667018250154,10.121147746770754,0.9338238256623763,71.49573372286599
3403,42,163748,44.66130884041332,0.383674915113467,7.718567555023573,0.9346750896349195,71.02528895447992
3404,42,113636,50.88968284698511,0.4323541835333873,7.722904713295082,0.9257972640858821,67.59622521309137
3407,17,171220,45.421679710314216,0.39254759957948837,16.838570260483586,0.935779750263545,70.74224310815777
3408,17,187123,36.87627923878946,0.301293801403355,26.14216317609273,0.9182197538519472,78.5117190321153
3409,17,150648,46.69892730072752,0.3996601348839679,20.262466146248208,0.9287915030127674,70.44218124596271
3410,17,176923,50.75993511301527,0.4586062863505593,18.88109516569355,0.9341858526778268,65.88816384874934
3411,17,169756,48.30757086642004,0.4291512523857772,18.32689271660501,0.9322337531297583,68.01163669020272
3412,17,105494,44.726714315506094,0.3703243786376476,11.117219936678863,0.9493998725799329,71.9053174275729
3413,17,163568,45.17570673970459,0.35808348821285335,8.466815024943754,0.9449317871565733,72.98605529410831
3414,17,164245,46.68757039788121,0.3906846479344881,11.756217845292094,0.9395889737063731,70.36240498160305
3415,17,125610,46.45330785765465,0.4071889180797707,34.20905978823342,0.9139856704610951,70.39840963423359
3416,17,141973,54.59629647890796,0.47413240545737567,18.56198009480676,0.9324876985185973,64.67283168729459
3417,17,120900,42.572373862696445,0.3724317617866005,31.38792390405294,0.9236434050709194,72.54477887455616
3418,17,106915,46.76238133096385,0.39422906046859657,23.93303091240705,0.939386301103731,70.33168448822823
3419,17,119906,48.99171017296883,0.4349740630160292,30.621486831351223,0.9228983050638772,68.03216960086252
3420,17,181361,53.02683597906936,0.4787578365800806,30.113971581541787,0.920710564960063,65.1558702107154
3421,17,176934,46.220624639696155,0.41823504809703055,31.553573648931238,0.9217752936163495,69.45924861131564
