ISOALPHA,COUNTRYNM,mean_vax,overall_cvg,mean_age,perc_born_before_1980,perc_born_before_cessation,min_admin1_vax,max_admin1_vax,std_admin1_vax
MUS,mauritius,26.0064879945429,80,31.03603235601351,30.93634686961139,32.50810999317862,18.672314313642328,26.26947226482354,5.372001905025534
MWI,malawi,12.685765147330093,91,21.413834756709317,13.257557279842526,13.940401260802297,8.902952641709714,15.018324196885526,1.4744041067826696
MYS,malaysia,21.81783580211225,89,27.88400451381194,23.24192201498475,24.514422249564326,12.167151431548358,27.423783774129955,4.095570145366209
MYT,mayotte,13.855391604990842,77.5,22.35667288983992,14.951594939223193,19.576031833605644,10.605168373187592,18.708380745354283,2.165778872165447
"NAM",namibia,16.88007867854491,88,25.14516308239574,18.011397966527518,18.954743363867916,14.468120763426056,21.119411404063023,1.8791455704794606
NCL,new caledonia,26.843728636955785,77.5,31.827209310209273,30.472911662564652,36.63548445324027,23.79086798214472,27.60303473275191,2.193524099165703
NER,niger,11.327710027356819,77,19.675024613267684,12.556775558906867,13.246455205077194,10.15709126767742,12.342709598554674,0.7095710581661009
NFK,norfolk island,NA,NA,46.935273675065154,63.092962641181586,NA,NA,NA,NA
NGA,nigeria,12.794638491469122,77,22.45951684517034,14.52588656137575,15.446084775607549,10.196423225355009,16.57792123658555,2.0001848387293717
NIC,nicaragua,12.817871381653768,80,24.161294966245926,16.969589884065407,16.02233922706721,9.229372408355916,15.785483491028026,2.0455257849845867
NIU,niue,NA,NA,30.430230205002122,32.3895220068733,NA,NA,NA,NA
NLD,netherlands,31.59264256487353,81.5,39.890354910782925,46.794552448913414,39.00448271690005,25.46914951564801,36.47615161712572,3.072997521854792
NOR,norway,35.7827734840218,95,38.69829091013978,43.449508928995485,37.66607735160189,29.934593785680256,42.02529605336046,3.055210814259396
NPL,nepal,20.41049265859299,95,25.672312190112287,20.40760907043729,21.484729114308404,17.951571741233483,21.863521920505537,1.9436277753984519
NRU,nauru,13.535100189438769,80,23.133473595660014,15.946859433569095,16.918875236798456,13.53510018943876,13.53510018943877,3.3775941617751695e-15
NZL,new zealand,12.44365791061501,30,37.683601778958746,42.92118937166202,41.47885970205003,10.332968446878986,17.755990768975668,1.5376630362935244
OMN,oman,14.354750381457308,80,27.6680370282653,16.635570642389222,17.94343797682163,12.908834869673868,16.597735527731324,1.2394086475416046
PAK,pakistan,15.211849090403863,80,24.570912677032997,17.995441393977867,19.01481136300483,15.19274302976981,15.215110536717468,0.007966140976473631
PAN,panama,22.772396892816392,80,29.926228789663128,27.160504189994917,28.465496116020496,11.694258901286783,33.22821904742454,6.16466305210971
PER,peru,17.192514454941833,92.5,28.383836314809937,23.77670683210389,18.36488546600557,11.07451945699435,19.539658760471433,2.2231828439067316
PHL,philippines,17.75200176094354,89,26.22413322478879,21.138434349675805,19.946069394318585,10.716167556629111,24.824567653309675,2.484129366823717
PLW,palau,25.964130073425515,80,32.40016313159395,30.56098784163511,32.45516259178188,17.44,32.72131147540985,3.7019717701297052
PNG,papua new guinea,14.170518392687189,89,24.32587616381417,16.98671857651454,15.92193077830021,14.15222996684906,14.189786907920176,0.008068476778858047
POL,poland,31.168310713421054,80,34.91188623744019,37.58094954008859,38.96038839177631,30.465021079187732,32.376503901160916,0.7549080438762754
PRI,puerto rico,31.0802295022513,95,37.664302273054034,41.988839843449036,32.716031055001345,24.56255231820268,37.702608695652174,2.6314067167368274
PRK,democratic people's republic of korea,27.467768761374693,80,32.87036443517363,32.59926259723844,34.33471095171837,26.484669654437,28.811123899875597,0.7086236915593087
PRT,portugal,38.047496020950945,81.5,41.94289832859771,48.53170658463471,47.06818042256726,30.79456697177528,38.3405196534884,3.8043556327797168
PRY,paraguay,19.027857353942125,85,26.321654239301907,21.280776915387516,22.38571453404955,15.90572732485646,25.588699864523072,2.668265667950099
PSE,occupied palestinian territory,12.066265281047459,80,21.83034325821493,14.187637370080942,15.082831601309323,10.28934447602296,13.131183279161954,2.009483488738645
PYF,french polynesia,23.92436665720735,77.5,30.118190123287718,26.963519505716203,33.16940320257506,19.97424709455803,26.735811355294363,2.4431508408268634
QAT,qatar,16.7619223048586,80,30.633309419261682,18.849136694817762,20.952402881073247,16.099149026151533,17.5588469510175,0.5045448557108463
REU,reunion,28.916067016243037,77.5,32.57165398323327,33.16097553294892,39.549491749524456,27.069974681329946,30.101627704722723,1.3172422416151344
ROU,romania,37.42774979541882,80,40.39240810261032,45.00507006463453,46.784687244273535,36.5396399976205,38.535664888149824,0.8404247213620848
RUS,russian federation,34.59817607694306,80,38.5746311940944,43.24772009617886,43.24772009617886,18.160279874067133,39.330075772458535,4.444735638645059
RWA,rwanda,15.293028677756304,95,22.77098011416101,15.094316944293311,15.887768882465616,11.07316715127131,17.795066529608956,2.464701180565101
SAU,saudi arabia,15.292635364900482,80,26.935313250230255,17.74870533607477,19.115794206125607,13.028063703615556,17.273442606896726,1.3209499107429172
SDN,sudan,17.35288346087055,88,22.406690139522446,14.69212790320972,19.71918575098926,17.31614401260113,17.425425141491512,0.03156393484622563
